,Artist Name,Artist ID,Artist Genre,Song Name,Popularity,Explicit
0,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,dance pop,Loyal (feat. Lil Wayne & Tyga),73,True
1,Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,pop,Only the Brave,63,False
2,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,dance pop,Rock Bottom,65,False
3,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,boy band,If I Could Fly,70,False
4,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,pop,Bed Peace,62,True
5,Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi,dance pop,Right Now,60,False
6,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,permanent wave,Higher Power,71,False
7,Surfaces,4ETSs924pXMzjIeD6E9b4u,bedroom soul,I Can't Help But Feel,57,False
8,Luke Hemmings,4UFShyUQuA8dguoZrqX0jQ,pop,Place In Me,56,False
9,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,dance pop,Love U Better (feat. Lil Wayne & The-Dream),55,True
10,Zedd,2qxJFvFYMEDqd7ui6kSAcq,complextro,The Middle,80,False
11,Lorde,163tK9Wjr9P9DmM0AVK7lm,art pop,Writer In The Dark,69,False
12,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,dance pop,Pull Up (feat. Lil Uzi Vert),52,True
13,girl in red,3uwAm6vQy7kWPS2bciKWx9,bedroom pop,midnight love,73,False
14,Rich Homie Quan,5lHRUCqkQZCIWeX7xG4sYT,atl hip hop,"Flex (Ooh, Ooh, Ooh)",64,True
15,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,boy band,Just Friends,66,False
16,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,colombian pop,telepatía,82,False
17,Harry Styles,6KImCVD70vtIoJWnq6nGn3,pop,Little Freak,82,False
18,Fiji Blue,1e7K8jD3wRuQfnwDAOeGqe,chill pop,Dance When You Cry,50,False
19,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,dance pop,OMG (feat. Quavo),64,False
20,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,dance pop,New Rules,81,False
21,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,piano rock,West Coast,75,False
22,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,boy band,Let Me Down Easy (Lie),61,True
23,Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,pop,Don't Let It Break Your Heart,61,False
24,Claire Rosinkranz,3V0ZQW0dNuVaFtbVYgSI24,indie pop,don't miss me,67,True
25,Omarion,0f5nVCcR06GX8Qikz0COtT,dance pop,Post to Be (feat. Chris Brown & Jhene Aiko),70,True
26,Joshua Bassett,4VdV2qRAYBLINR6uU72V1J,pop,Sad Songs In A Hotel Room,59,True
27,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,metropopolis,Shut Off The Lights,55,False
28,Beach Weather,7I3bkknknQkIiatWiupQgD,modern rock,"Sex, Drugs, Etc.",89,False
29,Howard Shore,0OcclcP5o8VKH2TRqSY2A7,canadian classical,I See Fire,60,False
30,Flume,6nxWCVXbOlEVRexSbLsTer,australian dance,Never Be Like You (feat. Kai),67,True
31,Harry Styles,6KImCVD70vtIoJWnq6nGn3,pop,Fine Line,78,False
32,Playboi Carti,699OTQXzgjhIYAHMy9RyPD,atl hip hop,Magnolia,79,True
33,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,bedroom pop,THREAT,66,False
34,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,I Feel It Coming,75,False
35,G-Eazy,02kJSzxNuaWGqwubyUba0Z,hip hop,Good Life (with G-Eazy & Kehlani),56,False
36,Kiiara,4u5smJBskI6Adzv08PuiUP,alt z,Whippin (feat. Felix Snow),48,True
37,Del Water Gap,0xPoVNPnxIIUS1vrxAYV00,deep new americana,Better Than I Know Myself,54,False
38,THE ANXIETY,64H8UqGLbJFHwKtGxiV8OP,modern alternative pop,Meet Me At Our Spot - Live,66,True
39,almost monday,42FzVuyJH8YbkhzWSR2n8E,modern indie pop,sunburn,65,False
40,Future,1RyvyyTE3xzB2ZywiAwp0i,atl hip hop,Where Ya At (feat. Drake),65,True
41,John Mayer,0hEurMDQu99nJRq8pTxO14,neo mellow,XO,69,False
42,Alfie Templeman,6QzMY3tnu0m56eKUnr4uCF,modern alternative pop,Broken,51,False
43,Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,alt z,The Bottom,63,True
44,THE DRIVER ERA,5bmqhxWk9SEFDGIzWpSjVJ,modern alternative rock,Heart of Mine,58,False
45,Rema,46pWGuE3dSwY3bMMXGBvVS,nigerian pop,Calm Down (with Selena Gomez),93,False
46,Beyoncé,6vWDO969PvNqNYHIOW5v0m,dance pop,CUFF IT,93,True
47,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,art pop,Mariners Apartment Complex,71,True
48,Aidan Bissett,4XQI4hyuy5xun1ou3SM8Oe,gen z singer-songwriter,Tripping Over Air,71,True
49,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,canadian pop,In My Blood,75,False
50,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,pop,enough for you,77,False
51,Katy Perry,6jJ0s89eD6GaHleKKya26X,dance pop,Harleys In Hawaii,77,False
52,Alfie Templeman,6QzMY3tnu0m56eKUnr4uCF,modern alternative pop,Colour Me Blue,53,False
53,DNCE,6T5tfhQCknKG4UnH90qGnz,dance pop,Got Me Good,63,False
54,Ricky Montgomery,0ZUvK7zGdXLd78mQr3t1Tw,indie pop,Line Without a Hook,81,False
55,Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT,gen z singer-songwriter,Missing You (with Ashe),64,False
56,boy pablo,7wbkl3zgDZEoZer357mVIw,bedroom pop,Don't You Want Me,47,False
57,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,bedroom pop,Television / So Far So Good,76,True
58,Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,electropop,Cry with you,64,True
59,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,boy band,Amnesia,64,False
60,Taylor Swift,06HL4z0CvFAxyc27GXpf02,pop,Wildest Dreams (Taylor's Version),82,False
61,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,dance pop,Rise,65,False
62,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,boy band,No Control,70,False
63,Young Thug,50co4Is1HCEo8bhOyUWKpn,atl hip hop,Relationship (feat. Future),69,True
64,Tate McRae,45dkTj5sMRSjrmBSBeiHym,pop,she's all i wanna be,76,False
65,Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,pop,Bigger Than Me,69,False
66,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,dance pop,Truffle Butter,65,True
67,The Band CAMINO,6d4jrmreCmsenscuieJERc,hopebeat,I Think I Like You,62,True
68,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,big room,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",62,False
69,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,dance pop,Smells Like Me,64,False
70,Adele,4dpARuHxo51G3z768sgnrY,british soul,When We Were Young,74,False
71,Harry Styles,6KImCVD70vtIoJWnq6nGn3,pop,Canyon Moon,72,False
72,DNCE,6T5tfhQCknKG4UnH90qGnz,dance pop,Toothbrush,67,False
73,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,edm,In My Mind,78,False
74,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,alt z,Worst In Me,54,False
75,Ghost,1Qp56T7n950O3EGMsSl81D,hard rock,Mary On A Cross,75,False
76,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,pop,hope ur ok,75,False
77,Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,alt z,Goodnight,62,False
78,Harry Styles,6KImCVD70vtIoJWnq6nGn3,pop,Cinema,79,False
79,DeJ Loaf,7kFfY4UjNdNyaeUgLIEbIF,detroit hip hop,No Fear,61,False
80,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,bedroom pop,The Cut That Always Bleeds,68,False
81,The 1975,3mIj9lX2MWuHmhNCA7LSCW,modern alternative rock,I'm In Love With You,76,True
82,Cast of High School Musical: The Musical: The Series,1YWJ1WjMkBCB1X3QOJ1Wdn,post-teen pop,Finally Free,54,False
83,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,melodic rap,The Way Life Goes (feat. Oh Wonder),81,True
84,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,bedroom pop,Best Friend,78,True
85,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,dance pop,Finesse - Remix; feat. Cardi B,74,False
86,Astrid S,3AVfmawzu83sp94QW7CEGm,alt z,Such A Boy,49,False
87,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,barbadian pop,Sex With Me,72,True
88,Taylor Swift,06HL4z0CvFAxyc27GXpf02,pop,Paper Rings,81,False
89,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,dance pop,Cool for the Summer,80,True
90,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,modern alternative rock,Pretty Boy,76,False
91,Harry Styles,6KImCVD70vtIoJWnq6nGn3,pop,Carolina,70,False
92,Various Artists,0LyfQWJT6nXafLPZqxe9Of,,Could Have Been Me,72,False
93,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,conscious hip hop,Crooked Smile (feat. TLC),70,True
94,Dylan,4LOM7NzyrZvlGSYPFDsnTk,alt z,Live Without It,46,False
95,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,kentucky hip hop,Don't,84,True
96,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,dance pop,34+35,81,True
97,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,atl hip hop,Redbone,83,True
98,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,modern rock,Radioactive,72,False
99,Charli XCX,25uiPmTg16RbhZWAqwLBy5,art pop,1999,60,False
