,Songs,Debut Date,Peak Chart Position,Peak Date,Weeks Charted
0,Adore You,12.21.19,6,04.11.20,50
1,Watermelon Sugar,11.30.19,1,08.15.20,39
2,As It Was,04.16.22,1,04.16.22,35
3,Late Night Talking,06.04.22,3,09.17.22,24
4,Golden,12.28.19,57,03.06.21,20
5,Music For A Sushi Restaurant,06.04.22,8,06.04.22,18
6,Sign Of The Times,04.29.17,4,04.29.17,13
7,Lights Up,10.26.19,17,10.26.19,5
8,Daylight,06.04.22,13,06.04.22,4
9,Matilda,06.04.22,9,06.04.22,4
10,Grapejuice,06.04.22,15,06.04.22,3
11,Little Freak,06.04.22,14,06.04.22,3
12,Satellite,06.04.22,21,06.04.22,3
13,Love Of My Life,06.04.22,29,06.04.22,2
14,Boyfriends,06.04.22,30,06.04.22,2
15,Daydreaming,06.04.22,24,06.04.22,2
16,Cinema,06.04.22,22,06.04.22,2
17,Keep Driving,06.04.22,25,06.04.22,2
18,Sweet Creature,05.20.17,93,05.20.17,1
19,She,12.28.19,99,12.28.19,1
20,Falling,12.28.19,62,12.28.19,1
21,Cherry,12.28.19,84,12.28.19,1
