,Name,SongID,Popularity,Explicit
0,As It Was,4Dvkj6JhhA12EX05fT7y2e,92,False
1,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,90,False
2,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,89,False
3,Adore You,3jjujdWJ72nww5eGnfs2E7,85,False
4,Matilda,6uvh0In7u1Xn4HgxOfAn8O,84,False
5,Falling,1ZMiCix7XSAbfAJlEZWMCp,84,False
6,Music For a Sushi Restaurant,5LYMamLv12UPbemOaTPyeV,84,False
7,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,84,False
8,Daylight,51Zw1cKDgkad0CXv23HCMU,83,False
9,Satellite,0rzaRSujxA0bKyjJl6vHYq,83,False
